gene_id,mean_cpm_ground,mean_cpm_flight,n_ground,n_flight,log2fc_flight_vs_ground
AT2G01422,0.6321261521933518,42.95038417170822,18,18,4.751051298871827
AT2G05510,4.312380420917171,131.92762723575487,18,18,4.645138708345514
AT5G19890,3.2768676286560523,63.33658701683758,18,18,3.9110129438470684
AT2G26400,22.85348213575158,155.4960992319972,18,18,2.713854905878165
AT2G34317,3.563012917915304,25.849295834367283,18,18,2.556825608547185
AT2G30670,0.37779753736055066,6.817777702301642,18,18,2.5043946578153884
AT2G43920,11.188228294157206,66.31119377725491,18,18,2.465358015289273
AT4G11650,7.622770745198707,44.87257101490394,18,18,2.411408339760844
AT1G59359,0.8867595520497968,8.700278671679502,18,18,2.362115615824631
AT1G58684,0.8867595520497968,8.596185729539174,18,18,2.346550502445111
AT2G30660,0.3387765868533811,5.802227531090268,18,18,2.345092038439592
AT1G26250,2.0234233333777807,13.887555571452475,18,18,2.299851991964842
AT1G54970,0.10856310243502929,4.43106943383064,18,18,2.2925454129218723
AT4G33467,0.3532115156320172,5.576642203286549,18,18,2.280963824370862
AT1G26255,2.3103984972427023,14.638952889813945,18,18,2.240067119343566
AT4G13390,3.8588306940986135,20.93637454405427,18,18,2.1746440414216957
AT5G66780,1.8909729932041328,12.023185287341633,18,18,2.1714553178415583
AT1G49570,46.02603801341811,202.97947562964433,18,18,2.116892301783193
AT3G01970,5.070082693671552,25.12683306022496,18,18,2.1057441845336133
AT5G57540,0.546629613006036,5.647587669370316,18,18,2.1037031572676606
AT1G19530,130.15901663901218,533.6202206286664,18,18,2.02719741450646
AT5G66700,0.11721836802217128,3.5481931279734553,18,18,2.0253823180098314
AT5G52720,14.429891598349148,61.21397176147449,18,18,2.0115106849549163
AT3G28510,18.95349839336953,78.74005954546391,18,18,1.9986629701832288
AT1G02920,9.515154264828675,40.77172328851722,18,18,1.9900566473843782
AT1G50090,4.3381189476552,20.075010316531195,18,18,1.9811299793096901
AT5G22555,18.636161166708074,76.08905374576788,18,18,1.9730131063133178
AT2G39400,1.6567098136776481,9.016568686562422,18,18,1.9146758188505533
AT5G05500,17.574089516795773,66.5270509959834,18,18,1.8621740612732984
AT1G02450,0.8877001011567535,5.754578836126899,18,18,1.8392362349290252
AT5G20150,2.5456085789237637,11.564619706460139,18,18,1.8252618234571525
AT3G49120,3.944597963908712,16.472403355616567,18,18,1.8211529387908574
AT2G15960,4.47190732393221,18.29831806450443,18,18,1.818359414543599
AT3G17790,3.18701854185245,13.63724596362177,18,18,1.8056489202276664
AT1G31580,0.12996277869073566,2.893611948536387,18,18,1.7848338563913428
AT1G62980,8.902730332689238,33.10475351121996,18,18,1.7840745776870355
AT2G20520,0.16279974020575383,2.952342366182021,18,18,1.7651052695368945
AT1G73260,46.889516392326115,161.63358070356685,18,18,1.7638434050809944
AT5G61650,0.9098304477689285,5.4249103481384795,18,18,1.7502317599996637
AT2G05520,0.7696379486630982,4.937770879727769,18,18,1.7464671966294423
AT3G08860,3.863849579423262,15.206134625848177,18,18,1.736369512878852
AT5G26690,3.7743579023492546,14.780040336111405,18,18,1.724722268110928
AT2G23030,17.048244192490188,58.57322284993089,18,18,1.7228055168818714
AT5G38940,20.274428638968192,68.95435998737072,18,18,1.7172935914515042
AT2G44460,0.3968931278019001,3.539850109854717,18,18,1.7004230169019277
AT4G04710,2.730910339499842,11.105957014514129,18,18,1.6981175383678264
AT3G12230,10.944978991549865,37.60138204358383,18,18,1.6922481847349422
AT4G27845,2.0616520330854704,8.6833686772171,18,18,1.6611986985058487
AT3G21720,59.192195944731196,188.83715636528456,18,18,1.6571140396663588
AT3G04720,9.169921710462063,31.000363829630494,18,18,1.6537797348328056
AT1G72930,6.7458863382813234,23.268201276437356,18,18,1.647564945215344
AT1G68050,2.8324299688331642,10.818434686160517,18,18,1.6247076333995714
AT4G11210,9.685245204379498,31.85860290213936,18,18,1.6206511251326439
AT3G56400,24.669269739679102,77.90026235246249,18,18,1.6199878438419588
AT1G21400,2.228250908211607,8.910206092329771,18,18,1.6181623469103361
AT1G48930,3.3629370512898635,12.354579628796735,18,18,1.6139630003037932
AT5G24313,2.4005815714873027,9.4007344492582,18,18,1.6128320040768647
AT2G14560,0.5375064616730849,3.648974919751613,18,18,1.5963201691654727
AT4G14630,3.111250008855446,11.425867475127685,18,18,1.5956975615030309
AT1G62510,6.328055791617057,21.01095227335961,18,18,1.586719170339613
AT5G06630,2.5792748900302147,9.746527612390102,18,18,1.5861313227752956
AT1G77145,1.0195014960261508,5.045303668114658,18,18,1.581815596077129
AT4G06746,2.536600393349717,9.575701347469252,18,18,1.5803182208152136
AT1G29100,0.046079921379745,2.0916191367199355,18,18,1.5633695225701576
AT2G18690,5.665294532694204,18.696373828532938,18,18,1.5631895158283475
AT3G47340,2.760812807435214,10.101174844921657,18,18,1.5615959621990796
AT5G66170,23.038766193600487,69.07383403600001,18,18,1.5435129837193724
AT1G52130,0.5338286393904261,3.4572878342121824,18,18,1.5390288148054787
AT2G28690,1.8520991983902944,7.2440185182294545,18,18,1.531323584760604
AT4G09780,1.89500454842828,7.354367471762162,18,18,1.5289649878077984
AT4G07820,39.036198067665595,114.22730669249528,18,18,1.52510576468984
AT1G12040,5.671510426980872,18.180945240926377,18,18,1.5235884894013534
AT3G54590,35.99550971861564,104.7585036096662,18,18,1.5153515879646584
AT3G53200,3.5678823320124136,12.021464767525359,18,18,1.511294351831823
AT3G54040,50.17430663289454,144.2057132362486,18,18,1.504606663216321
AT3G58550,6.291657991764067,19.616877987446184,18,18,1.4995070821779457
AT2G25510,2.0975984656586126,7.694631871562523,18,18,1.4889748023830804
AT1G56300,14.112459115404906,41.38959074459843,18,18,1.487971601312739
AT5G57625,24.588045166807408,70.25668476179003,18,18,1.4775554282662098
AT1G08630,0.33202139289189386,2.703221913058797,18,18,1.4751637516626157
AT1G21250,0.5678318475185118,3.351346059499134,18,18,1.4726909215735782
AT5G01215,6.150991100252803,18.654877622036217,18,18,1.458672268155383
AT3G61198,4.051791963390399,12.831540631979017,18,18,1.45309472644375
AT5G07550,0.16462632867669577,2.187067025080548,18,18,1.452362220569026
AT1G52342,23.269557784934445,65.2866247139113,18,18,1.4495699719156927
AT1G23052,0.8173016889242694,3.960871954720947,18,18,1.4487957800449953
AT5G13330,15.42181773386802,43.61962583709326,18,18,1.4420645876305886
AT1G30870,7.524958836403962,22.134947514550404,18,18,1.4403090528425238
