,country,id,pid,pidc,time,ecotype,Mincirclediam,Normsmallpax,Normlargepax,Minrectarea,Mindistcenbdy,vrectsizey,vrectsizex,Compactness,Normrotmo,Area,Paxratio,Circumference,Excentricity,Maxdiam,Roundness,Bdryround,Bdrycount,Bdrytoarearatio,Conhullcirc,Conhullarea
units,,,,,,,,,,,,,,,,,,,,,,,,,,
1_magic_e1_w1arab_magic_w1,Scotland,1,outside,corner,17,EDi-0,15.212,0.087253,0.17915,146.32,0.4612,14.753,10.455,0.70004,0.26641,73.692,2.0532,64.905,0.119,14.82,57.165,101.09,86.31,1.1712,39.204,105.27
1_magic_e1_w2arab_magic_w2,Scotland,1,outside,corner,22,EDi-0,24.088,0.095873,0.14904,402.31,0.71943,21.763,21.162,0.67819,0.24491,213.01,1.5545,140.26,0.047122,23.042,92.36,132.18,167.8,0.78775,65.931,314.09
1_magic_e1_w3arab_magic_w3,Scotland,1,outside,corner,25,EDi-0,35.097,0.13169,0.17108,789.96,0.052249,30.531,31.884,0.5678,0.30276,343.7,1.2991,197.96,0.016928,32.167,114.01,211.34,269.51,0.78414,94.603,605.32
1_magic_e1_w4arab_magic_w4,Scotland,1,outside,corner,28,EDi-0,44.598,0.11812,0.14462,1387.8,0.51994,40.392,36.228,0.62566,0.26274,663.03,1.2243,307.49,0.010168,41.564,142.61,276.73,428.35,0.64604,121.69,1059.7
1_magic_e1_w5arab_magic_w5,Scotland,1,outside,corner,32,EDi-0,62.878,0.12811,0.14477,2871.4,1.6579,54.614,54.012,0.59676,0.27287,1267.3,1.13,526.93,0.0037268,57.996,219.09,311.04,627.84,0.49541,173.51,2123.7
1_magic_e10_w1arab_magic_w1,Lithuania,109,outside,noncorner,17,Kn-0,12.208,0.051886,0.20352,80.36,0.73533,11.608,7.7774,0.77624,0.2554,47.445,3.9224,49.113,0.35247,11.897,50.839,86.539,64.077,1.3506,30.083,61.122
1_magic_e10_w2arab_magic_w2,Lithuania,109,outside,noncorner,22,Kn-0,20.164,0.097677,0.15322,276.17,0.70888,18.457,15.456,0.70676,0.2509,148.05,1.5687,100.06,0.049014,19.428,67.626,95.401,118.85,0.80273,55.101,209.48
1_magic_e10_w3arab_magic_w3,Lithuania,109,outside,noncorner,25,Kn-0,29.17,0.11246,0.14606,534.1,0.93974,22.066,25.788,0.66526,0.25853,280.57,1.2988,152.38,0.016892,27.986,82.754,148.97,204.44,0.72866,78.086,421.75
1_magic_e10_w4arab_magic_w4,Lithuania,109,outside,noncorner,28,Kn-0,38.651,0.10789,0.13331,992.53,0.82163,30.18,33.657,0.67339,0.2412,509,1.2356,230.01,0.011105,37.609,103.94,189.66,310.71,0.61042,104.65,755.88
1_magic_e10_w5arab_magic_w5,Lithuania,109,outside,noncorner,32,Kn-0,51.054,0.10996,0.11948,1936.3,2.5517,44.602,45.353,0.65492,0.22943,954.05,1.0866,277.74,0.0017211,47.765,80.852,183.22,418.09,0.43822,142.99,1456.8
