metabolite	class	mean_change	median_change	stdev_change	n_accessions
N-Ethylmaleamic acid	unknown	5.912565460888031	5.954637795	0.3713586426401113	259
Purine	unknown	5.05654400115444	5.113672825	0.46233985050190635	259
Tyrosine	unknown	5.013498418285714	5.059906317	0.4307847983262646	259
Leucine	unknown	4.848988257389961	4.919468451	0.5346149840285378	259
alpha-D-Galacturonic acid 1-phosphate	unknown	4.299335704637065	4.33243715	0.5142805680340131	259
Lactulose	unknown	-4.149108727177606	-4.12592649	0.745524660201573	259
Allantoic acid	unknown	4.043520977451737	4.014126449000001	0.368481151325265	259
Isoleucine	unknown	3.118097133888031	3.14957113	0.6813323622851992	259
Glutamic acid, N-acetyl-	unknown	-2.797619162984556	-2.7930273189999997	0.6270891615597991	259
Loganin	unknown	2.3039427543088804	2.2795295720000004	0.49849938776011227	259
Uridine-5'-diphosphogalactose	unknown	-1.9116894843745174	-1.909781856	0.19792423963368475	259
alpha-Ketoglutaric acid	unknown	-1.7391338303474904	-1.6833344310000002	0.6172730072337581	259
Sedoheptulose	unknown	1.4585255696795367	1.455421539	0.24900014445119636	259
Pyroglutamic acid	unknown	1.445058347926641	1.430192016	0.4107731884861471	259
Pantothenic acid (Vitamine B5) 	unknown	1.2845416537335907	1.2628366	0.22716071371032687	259
Naringin	unknown	1.2246436207953668	1.421182985	1.3785651958589524	259
Malic acid	unknown	-1.2039070171621622	-1.187149384	0.4231622664837134	259
Riboflavin 	unknown	-1.1303069072162162	-1.113705193	0.1983895257581359	259
N-Acetyl-L-Tyrosine	unknown	-1.0645604582625483	-1.0798871810000001	0.4140486378083333	259
Guanosine	unknown	-1.0236947816833977	-1.0573912079999999	0.36214322141065614	259
Rutin	unknown	-0.9580203677490348	-0.992205029	0.3837912823050906	259
Flavine adenine dinucleotide (FAD)	unknown	-0.7968264928378378	-0.7960108459999999	0.16737048931316614	259
Glucoalyssin	unknown	-0.7839420025868725	-0.710808436	0.6521377604832886	259
Sinapoylglucose	unknown	-0.7506236995752896	-0.7302499490000001	0.47413215451446195	259
2-Isopropylmalic acid	unknown	-0.7217830922741313	-0.732176619	0.34506813579154794	259
beta-Nicotinamide adenine dinucleotide	unknown	-0.6151408978571429	-0.6109510749999999	0.14743767044198236	259
N,N-Dimethylglycine	unknown	-0.5960317536525096	-0.5885527039999999	0.17709346391760175	259
Quercetin 3-O-glucoside 7-O-rhamnoside	unknown	-0.5666294258880309	-0.5598762179999999	0.5007890257983684	259
Flavin Mononucleotide	unknown	-0.5514426096988417	-0.554697512	0.12757002767276124	259
3-Deoxy-D-manno-2-octulosonic acid	unknown	-0.5237796505019305	-0.511938328	0.15069321086890242	259
Glutathione	unknown	-0.47359870144787647	-0.46514482300000015	0.22977513775754563	259
Gluconic acid	unknown	-0.3819855184478764	-0.380256946	0.1305673320000042	259
Kaempferol 3-O-glucoside 7-O-rhamnoside	unknown	-0.3452215025791506	-0.33228953399999916	0.41763881638835365	259
Uric acid	unknown	0.32422464149034746	0.2533189440000001	0.5132237601535227	259
Quercetin 3,7-dirhamnoside	unknown	-0.31839772641698844	-0.3371125680000002	0.5485000549077097	259
Serine	amino acid	-0.2970278655019305	-0.286570824	0.3239935310646324	259
Glucohirsutin	unknown	-0.28635113161389963	-0.2617896770000001	0.33821060041212003	259
Formimino-L-Aspartic acid	unknown	0.18758219234362933	0.18464631999999997	0.21110015043506913	259
Kaempferol 3-O-6-O-(rhamnosyl) glucoside 7-O-rhamnoside	unknown	-0.12009403247490348	-0.09048653700000031	0.3447711940661836	259
Citric acid	unknown	-0.11967176526640927	-0.12334907100000003	0.20385142135550835	259
Saccharic acid	unknown	-0.09727873488803089	-0.09848288799999999	0.19607101568021107	259
Succinoadenosine	unknown	0.007372283135135135	-0.00242241	0.23929485920228663	259
